,Unnamed: 0,Nội dung
0,0,các cháu vẫn ngồi trên ghế nhà trường
1,1," VTV24 có lên thêm 10 lần bài phản ánh vụ này thì cũng chẳng giải quyết đc gì. Nào tìm đc cái góc vấn đề đã ""ai khởi nguồn cuộc chiến này""."
2,2,Bắc trung nam là 1 nhà. Ở đâu cũng có ng nọ ng kia nhưng vẫn là người Việt Nam
3,3,ai dám phân biệt trc mặt mình hong 
4,4,không biết có phải be qua trà trộn ly gián hông nữa :v
5,5,pắc K thì nói thoi có j dau mà phân biệt vùng miền 
6,6,ông cha ta đã hi sinh để giữ lấy 3 miền cho đất nước mà bây giờ ......
7,7,Thể quái nào thấy 2 bọn nó cứ Bắc với nam 
8,8,Mình k phải miền Bắc nhưng thấy những cmt đấy mình cũng thấy khó chịu 
9,9,Cũng từng bị đồng nghiệp phân biệt vùng miền:))
10,10,Ng Bắc dễ thương lắm ☺️
11,11,"Kipo vs ngáo quyền lực là có thật, làm phuc vu sợ nhất khách bắc"
12,12,tôi đâu có cần nói đâu vô miền Nam làm đi rùi biếc 
13,13,chia rẽ sao người ta nói đúng thì kêu chia rẽ 
14,14,nói thật ai chửi tui ngu thì tui chịu. mỗi lần thấy từ lạ ko hiểu ý phải lên google xem ý nghĩa gì 
15,15,phạt nặng đi chứ thế này xh loạn mất
16,16,Đánh nhau thì bắc chấp cả trung cả nam
17,17,Toàn bọn con nít thôi
18,18,@Minh An 22
19,19,
20,20,thấy nhiều bạn trẻ lớn mà k biết suy nghĩ v nếu đã có suy nghĩ như thế thì nên thấy có lỗi với đất nước với những người đã hi sinh vì muốn Bắc-Trung-Nam về một nhà đi
21,21,ko thấy bọn pbvm đâu nhỉ
22,22,packy lêu lêu
23,23,chờ mãi VTV cũng lên tiếng
24,24,M thấy miền nam hay gọi paky. thấy họ như gato với ng Mb ý. ng Mb rất rộng lượng nha 
25,25,đã là người một nhà. thì phân biệt nhau làm gì thế nhỉ. chán các bạn trẻ quá
26,26,Thế mà vấn ko khác phục đc.
27,27,Hở ra chê miền tây này kia hở ra là chê con gái miền tây miền nam này kia nói ngta thì ngta nói lại cho đúng r 
28,28,party
29,29,đố ai dám nói từ PBCT ở bình luận này
30,30,t chả bjo đi ns phân biệt bắc nam. nhưng lên mạng toàn thấy trong nam nói packky.nghĩ mà buồn cho các b trong nam. chỉ có ghen tị mới đi nói xấu vậy
31,31,"tôi người miền bắc,sống ở sg cũng dc 6 năm nhưng vẫn giữ nguyên giọng quê hương mình,ai nghĩ gì nói gì k quan tâm"
32,32,"Tui là người đơn giản, tui thấy mấy khứa hay cmt kiểu này là tui next ngay đỡ bực"
33,33,"chúng nó học ngu nên ko thuộc đc 5 điều bác hồ dạy, yêu tổ quốc yêu đồng bào..?"
34,34,K thấy ai cmt pa ki nữa nhể rén rồi sao. Mấy cu nick ảo đâu rồi
35,35,jo bắc ở bắc . nam ở nam vậy đi là xong..ai nói j bọn mầy nửa
36,36,"sao nó ko phân biệt miền Nam với miền Trung, mà cứ đè miền Bắc ra để phân biệt? tại sao nước ngoài cấm xklđ cũng chỉ cấm mấy tỉnh miền Bắc?"
37,37,Miền tây chưa phân biệt ai bao giờ..xã láng sáng về sớm..
38,38,"Nhma miền Bắc sống sao mà các miền còn lại đều ghét
nhất là cưới chồng ngta nói là phải né miền Bắc ra"
39,39,
40,40,Anh hùng bàn phím
41,41,miền nào cũng có người tốt người xấu
42,42,lên VTV1 là chúng m toi r
43,43,tôi là người ko phải chó nên tui ko hùa
44,44,"miền nào chả giống nhau, đúng ko mọi người"
45,45,lũ pbvn đã xem
46,46,Mong nhà nước có mức phạt . Phạt tiền nặng cho mấy đứa mõm mạng đấy
47,47,Phải chi Tiktok có keyword lock hết mấy đứa dùng từ phân biệt chủng tộc thì tuyệt 
48,48,Xã hội xuống cấp hư hỏng hết thế hệ cấm dùng đt cho khi lên c2 đi
49,49,Đối với t. Bạn có phải người VN hay k thôi. K có bắc trung nam
50,50,Toàn nick clone toàn con nít nói
51,51,tới chiến tranh xảy ra anh em cũng 1 lòng đánh giặc nhé
52,52,ai xấu tính thì bị nhột thôi :)))
53,53,Toàn là người Bắc lên tiếng nếu muốn ngưng chuyện này phải có nhiều người Nam lên tiếng đó hiệu quả nhất
54,54,
55,55,cuối cùng tôi cảm ơn VTV cho cái này lên
56,56,Nên trả bọn nó lại cali
57,57,@K
58,58,@уαии (chúa tể flop ☺️)
59,59,"Kinh với Kinh nó còn phân biệt vậy thì nói gì đến người Raglay tụi tôi, ra ngoài mà có một số người kêu tộc này tộc kia "
60,60,nói chung là ai có tư tưởng đấy thì tự kiểm điểm lại
61,61,"ủa vtv24 nè , mấy thg pbvm lặn hết r à?"
62,62,chán giới trẻ hiện đại 
63,63,cuối cùng cũng bị lên án 
64,64,NÓI !KHÔNG! VỚI ❌PHÂN ❌BIỆT ❌VÙNG ❌MIỀN❌
65,65,"Tui ở sg còn chướng mắt , tụi con nít chấp lg mn ơi , cali ăn hôi nữa"
66,66,Cấm luôn cho đỡ mệt
67,67,"mình ở miền Nam. lên mạng toàn thấy miền Nam chửi miền Bắc trước, nói thật ít học lắm "
68,68,quá nguy hiểm nếu ko bắt những kẻ này
69,69,Vô đây lại không thấy ai bảnh tỏn vô nói phân biệt nhỉ.
70,70," hãy tự hào vùng miền của mình, đừng nghe người ta gọi nơi mình sinh ra là xấu hổ"
71,71,bắt vài đứa mới sáng mắt
72,72,Bắt hết chúng nó đi
