Unnamed: 0,Content,Label
0,namki đồng_nai chào anh em parky,1.0
1,parky,1.0
2,nam bắc,2.0
3,parky,1.0
4,chung miền nam không parky,1.0
5,miền bắc parky,1.0
6,hào parky,1.0
7,kid parky,1.0
8,parky,1.0
9,1 miền nam tiếc bình luận tiêu_cực vầy thành lỗi miền bắc_nam bắc 1,2.0
10,namki chào parky nhá,1.0
11,parky soạn_văn,1.0
12,parky cay,1.0
13,parky,1.0
14,parky,1.0
15,parky,1.0
16,party,1.0
17,dân parky dân miền bắc dạy lắm,1.0
18,bắc kỳ trung kỳ nam kỳ tất sống 1 đất yêu_thương,2.0
19,kệ đi mấy bọn phân_biệt miền toàn học lịch_sử tâm_thần,1.0
20,tui mấy a / em nè tôi Thành phố Hồ Chí Minh 9 hiệu không bắc xấu tui da co may a / em mien bắc choi nét sony tầng_lớp,2.0
21,party,1.0
22,parky tao không namky toàn chĩa dùi miền nam mấy thằng parky hèn chos ngụ bò rừng,1.0
23,a không phân_biệt miền em niềm nam nè em phan biệt ngôn_ngữ chút,2.0
24,kêu nam kỳ hễ bắc kỳ ẳng kêu nam kỳ bắc kỳ phân_biệt miền,1.0
25,phật biệt miền 10 % bọn sơn_la yên_bái 10 1 thằng điếm thúi,1.0
26,câu suy ngẩm không đánh_đồng người miền bắc miền trung gì miễn miền tây jup đỡ hỗ_trợ mong cs không cư_xử kiểu,2.0
27,cali tây,1.0
28,tây nội_địa,1.0
29,namkiki cx lắm,1.0
30,sống chê nam dở thói bố đời mặt vênh_váo vô_lễ bảo đấy văn_hoá,1.0
31,sống nửa_đời kha bắc 80 % xui,1.0
32,gia_nô 3,1.0
33,10 % la tui rs hn 2 bi chat chém miền nam la nv không them không bớt gì,1.0
34,không đánh_động nhưg tui cty tui người ta không chi phục_tùng sát đất không,1.0
35,tui wen mấy a miền bắc mấy xấu dân gì người miền,1.0
36,không namki bọn loz pắc cay,1.0
37,mày giải_phóng miền nam bắc đi,1.0
38,miệt_thị gọi bắc kỳ gọi đàng_hoàng bắc kầy,1.0
39,miền nam parky tổ_tiên đói,1.0
40,đa tụi packy sống bẩn chữ tồn rmtaij ngàn,1.0
41,bắc kỳ dạy,1.0
42,10 thằng paky nc trộm_cắp 10 ngừ namky tao trộm_cắp tiếng đất không,1.0
43,ghớm câu o bắt kỳ nguoi nam giỏi đừng vô nam kiếm nha giỏi luon di vô nam,1.0
44,paky anh em pk đi truy_quét nguỵ với cali truy_quét bọn đu khát,1.0
45,má mày thằng nguỵ,1.0
46,ê thằng 3 củ quy_chụp hả,1.0
47,đu trượt chân,1.0
48,hah thằng già mày giỏi mày đứng dậy khởi_nghĩa đi thằng già cali,1.0
49,cầy núp bàn_phím ak,1.0
50,parkiki nhục em không miền nam 1945 1945 trog nam thịt người nạn đ parky,1.0
51,namky kết_hôn xong,1.0
52,ê nha 10 thằng nam 10 thằng ln,1.0
53,thắng vua thua đu ),1.0
54,bọn mày đéo quyền cấm ghen_tức người bắc_nam sinh_sống ngược lũ thức kém,1.0
