index,text,label,platform,processed_text
0,namki đồng_nai chào anh_em parky,1.0,TikTok,namki đồng_nai chào anh_em parky
1,parky,1.0,TikTok,parky
2,nam bắc,2.0,TikTok,nam bắc
3,parky,1.0,TikTok,parky
4,chung miền nam không parky,1.0,TikTok,chung miền nam không parky
5,miền bắc parky,1.0,TikTok,miền bắc parky
6,hào parky,1.0,TikTok,hào parky
7,kid parky,1.0,TikTok,kid parky
8,parky,1.0,TikTok,parky
9,miền nam tiếc bình_luận tiêu_cực vầy thành lỗi miền bắc_nam bắc,2.0,TikTok,miền nam tiếc bình_luận tiêu_cực vầy thành lỗi miền bắc_nam bắc
10,namki chào parky nhá,1.0,TikTok,namki chào parky nhá
11,parky soạn_văn,1.0,TikTok,parky soạn_văn
12,parky cay,1.0,TikTok,parky cay
13,parky,1.0,TikTok,parky
14,parky,1.0,TikTok,parky
15,parky,1.0,TikTok,parky
16,party,1.0,TikTok,party
17,dân parky dân miền bắc dạy lắm,1.0,TikTok,dân parky dân miền bắc dạy lắm
18,bắc kỳ trung kỳ nam kỳ tất sống đất yêu_thương,2.0,TikTok,bắc kỳ trung kỳ nam kỳ tất sống đất yêu_thương
19,kệ đi mấy bọn phân_biệt miền toàn học lịch_sử tâm_thần,1.0,TikTok,kệ đi mấy bọn phân_biệt miền toàn học lịch_sử tâm_thần
20,tui mấy em nè tôi thành_phố hồ_chí_minh hiệu không bắc xấu tui da co may em mien bắc choi nét sony tầng_lớp,2.0,TikTok,tui mấy em nè tôi thành_phố hồ_chí_minh hiệu không bắc xấu tui da co may em mien bắc choi nét sony tầng_lớp
21,party,1.0,TikTok,party
22,parky tao không namky toàn chĩa dùi miền nam mấy thằng parky hèn chos ngụ bò rừng,1.0,TikTok,parky tao không namky toàn chĩa dùi miền nam mấy thằng parky hèn chos ngụ bò rừng
23,không phân_biệt miền em niềm nam nè em phan biệt ngôn_ngữ chút,2.0,TikTok,không phân_biệt miền em niềm nam nè em phan biệt ngôn_ngữ chút
24,kêu nam kỳ hễ bắc kỳ ẳng kêu nam kỳ bắc kỳ phân_biệt miền,1.0,TikTok,kêu nam kỳ hễ bắc kỳ ẳng kêu nam kỳ bắc kỳ phân_biệt miền
25,phật biệt miền bọn sơn_la yên_bái thằng điếm thúi,1.0,TikTok,phật biệt miền bọn sơn_la yên_bái thằng điếm thúi
26,câu suy ngẩm không đánh_đồng người miền bắc miền trung gì miễn miền tây jup đỡ hỗ_trợ mong cs không cư_xử kiểu,2.0,TikTok,câu suy ngẩm không đánh_đồng người miền bắc miền trung gì miễn miền tây jup đỡ hỗ_trợ mong cs không cư_xử kiểu
27,cali tây,1.0,TikTok,cali tây
28,tây nội_địa,1.0,TikTok,tây nội_địa
29,namkiki cx lắm,1.0,TikTok,namkiki cx lắm
30,sống chê nam dở thói bố đời mặt vênh_váo vô_lễ bảo đấy văn_hoá,1.0,TikTok,sống chê nam dở thói bố đời mặt vênh_váo vô_lễ bảo đấy văn_hoá
31,sống nửa_đời kha bắc xui,1.0,TikTok,sống nửa_đời kha bắc xui
32,gia_nô,1.0,TikTok,gia_nô
33,la tui rs hn bi chat chém miền nam la nv không them không bớt gì,1.0,TikTok,la tui rs hn bi chat chém miền nam la nv không them không bớt gì
34,không đánh_động nhưg tui cty tui người ta không chi phục_tùng sát đất không,1.0,TikTok,không đánh_động nhưg tui cty tui người ta không chi phục_tùng sát đất không
35,tui wen mấy miền bắc mấy xấu dân gì người miền,1.0,TikTok,tui wen mấy miền bắc mấy xấu dân gì người miền
36,không namki bọn loz pắc cay,1.0,TikTok,không namki bọn loz pắc cay
37,mày giải_phóng miền nam bắc đi,1.0,TikTok,mày giải_phóng miền nam bắc đi
38,miệt_thị gọi bắc kỳ gọi đàng_hoàng bắc kầy,1.0,TikTok,miệt_thị gọi bắc kỳ gọi đàng_hoàng bắc kầy
39,miền nam parky tổ_tiên đói,1.0,TikTok,miền nam parky tổ_tiên đói
40,đa tụi packy sống bẩn chữ tồn rmtaij ngàn,1.0,TikTok,đa tụi packy sống bẩn chữ tồn rmtaij ngàn
41,bắc kỳ dạy,1.0,TikTok,bắc kỳ dạy
42,thằng paky nc trộm_cắp ngừ namky tao trộm_cắp tiếng đất không,1.0,TikTok,thằng paky nc trộm_cắp ngừ namky tao trộm_cắp tiếng đất không
43,ghớm câu bắt kỳ nguoi nam giỏi đừng vô nam kiếm nha giỏi luon di vô nam,1.0,TikTok,ghớm câu bắt kỳ nguoi nam giỏi đừng vô nam kiếm nha giỏi luon di vô nam
44,paky anh_em pk đi truy_quét nguỵ với cali truy_quét bọn đu khát,1.0,TikTok,paky anh_em pk đi truy_quét nguỵ với cali truy_quét bọn đu khát
45,má mày thằng nguỵ,1.0,TikTok,má mày thằng nguỵ
46,thằng củ quy_chụp hả,1.0,TikTok,thằng củ quy_chụp hả
47,đu trượt chân,1.0,TikTok,đu trượt chân
48,hah thằng già mày giỏi mày đứng dậy khởi_nghĩa đi thằng già cali,1.0,TikTok,hah thằng già mày giỏi mày đứng dậy khởi_nghĩa đi thằng già cali
49,cầy núp bàn_phím ak,1.0,TikTok,cầy núp bàn_phím ak
50,parkiki nhục em không miền nam trog nam thịt người nạn parky,1.0,TikTok,parkiki nhục em không miền nam trog nam thịt người nạn parky
51,namky kết_hôn xong,1.0,TikTok,namky kết_hôn xong
52,nha thằng nam thằng ln,1.0,TikTok,nha thằng nam thằng ln
53,thắng vua thua đu,1.0,TikTok,thắng vua thua đu
54,bọn mày đéo quyền cấm ghen_tức người bắc_nam sinh_sống ngược lũ thức kém,1.0,TikTok,bọn mày đéo quyền cấm ghen_tức người bắc_nam sinh_sống ngược lũ thức kém
55,parky cút,1.0,TikTok,parky cút
56,nguỵ nô gào_thét,1.0,TikTok,nguỵ nô gào_thét
57,parky phá nát khắp,1.0,TikTok,parky phá nát khắp
58,parky gốc ôg cố nội bọn tôi vậy hk parky giờ nam suớbg rồi,1.0,TikTok,parky gốc ôg cố nội bọn tôi vậy hk parky giờ nam suớbg rồi
59,parky rau_muống chấm pịa,1.0,TikTok,parky rau_muống chấm pịa
60,không parky miền nam hàn_quốc parky kỳ ích_kỷ sống không được,1.0,TikTok,không parky miền nam hàn_quốc parky kỳ ích_kỷ sống không được
61,parky sống kikikiki,1.0,TikTok,parky sống kikikiki
62,ta xưa tôi gọi ta gọi parky,1.0,TikTok,ta xưa tôi gọi ta gọi parky
63,danh may thằng parky,1.0,TikTok,danh may thằng parky
64,parky sống bận tôi miền trung,1.0,TikTok,parky sống bận tôi miền trung
65,đi dân ghét xklđ khôn lõi trộm_cắp kêu phân_biệt vùng miền,1.0,TikTok,đi dân ghét xklđ khôn lõi trộm_cắp kêu phân_biệt vùng miền
66,bắc giỏi lo thân sống tập_thể kéo tập_thể đi,1.0,TikTok,bắc giỏi lo thân sống tập_thể kéo tập_thể đi
67,địa namki cay,1.0,TikTok,địa namki cay
68,tổ_tiên người việt miền nam người bắc đấy người miền nam gốc người gốc khơ me không người bắc dẹp chiêm thành khai_hoang miền nam,1.0,TikTok,tổ_tiên người việt miền nam người bắc đấy người miền nam gốc người gốc khơ me không người bắc dẹp chiêm thành khai_hoang miền nam
69,không bắc đéo vnch lun miền nam đéo tụi đòi miền nam hàn_quốc,1.0,TikTok,không bắc đéo vnch lun miền nam đéo tụi đòi miền nam hàn_quốc
70,cali sống chó,1.0,TikTok,cali sống chó
71,parky sống pịa,1.0,TikTok,parky sống pịa
72,tao gọi mày nằm kì,1.0,TikTok,tao gọi mày nằm kì
73,gọi miền nam bọn mày cali,1.0,TikTok,gọi miền nam bọn mày cali
74,đéo miền bắc mẹ mày sống,1.0,TikTok,đéo miền bắc mẹ mày sống
75,nạn đói không miền nam miền bắc mày chết,1.0,TikTok,nạn đói không miền nam miền bắc mày chết
