index,author,updated_at,like_count,text,video_id,public,label,processed_text,platform
0,@michaelnhana,2024-06-07T03:22:15Z,0,TBT phải là người miền Bắc có ní nuận nha ae,iMQ_lK_saqE,True,1.0,tbt phải là người miền bắc có ní nuận nha anh_em,Youtube Short
1,@VanMyNguyen-kx3dq,2024-06-06T23:46:34Z,0,",🦮 🇫🇷",iMQ_lK_saqE,True,0.0,瑩,Youtube Short
2,@fanhihaHETCUU,2024-06-06T14:43:28Z,0,Kệ bọn cali đi chú,iMQ_lK_saqE,True,1.0,kệ bọn cali đi chú,Youtube Short
3,@namacony1469,2024-06-06T14:36:34Z,0,"Chỉ mấy đứa bé hoặc bọn ko có nước để uống mới nói,chứ ai rảnh lên mạng nói linh tinh",iMQ_lK_saqE,True,0.0,chỉ mấy đứa bé hoặc bọn không có nước để uống mới nói chứ ai rảnh lên mạng nói linh_tinh,Youtube Short
4,@duongg1463,2024-06-06T04:23:55Z,0,parkyyyyu,iMQ_lK_saqE,True,1.0,parkyu,Youtube Short
5,@DeadLOOP_999,2024-06-05T22:59:39Z,1,"Hồi  nhỏ sống ở 1 nơi toàn những người thích hồi tưởng truyện xưa. Mình bị những người ở đó chế nhạo bởi giọng Bắc. Mình bị tổn thương tâm lý sợ tiếp xúc hàng xóm 1 thời gian dài. Lúc đó còn cho rằng người Bắc là xấu. Lớn lên cũng bị 1 số người họ chửi đồ Bắc Kỳ, nhưng mình kệ họ đôi khi thấy thương cho họ chắc là 1 kẻ ngốc bị thao túng tâm lý hoặc gã Cali nào đấy.",iMQ_lK_saqE,True,4.0,hồi nhỏ sống ở 1 nơi toàn những người thích hồi_tưởng truyện xưa mình bị những người ở đó chế_nhạo bởi giọng bắc mình bị tổn_thương tâm_lý sợ tiếp_xúc hàng_xóm 1 thời_gian dài lúc đó còn cho rằng người bắc là xấu lớn lên cũng bị 1 số người họ chửi đồ bắc kỳ nhưng mình kệ họ đôi_khi thấy thương cho họ chắc là 1 kẻ ngốc bị thao_túng tâm_lý hoặc gã cali nào đấy,Youtube Short
6,@lemyhuyenang2169,2024-06-05T02:13:19Z,0,"Mình mong các bạn, mn sẽ ko nói parky hay namky nx. Vì anh dương đã nói”VIỆT NAM LÀ MỘT!”
Nếu các bạn thấy đúng thì hãy bl rằng”VIỆT NAM MÃI ĐỈNH, CẢM ƠN NHỮNG SỰ HI SINH CỦA CÁC ANH HÙNG,DÂN TỘC CHO NƯỚC TA!”❤❤❤❤❤🇻🇳🇻🇳🇻🇳🇻🇳🇻🇳🇻🇳🇻🇳🇻🇳🇻🇳🇻🇳🇻🇳🇻🇳🇻🇳🇻🇳",iMQ_lK_saqE,True,2.0,mình mong các bạn mọi người sẽ không nói parky hay namky nx vì anh dương đã nói việt_nam là một nếu các bạn thấy đúng thì hãy bl rằng việt_nam mãi đỉnh cảm_ơn những sự hi_sinh của các anh_hùng dân_tộc cho nước ta,Youtube Short
7,@l9ngtr2ntv26,2024-06-04T11:03:05Z,0,Còn namkiki vs trungkiki nx 😢 bọn cali gặm đến mức đấy luôn,iMQ_lK_saqE,True,1.0,còn namkiki với trungkiki nx bọn cali gặm đến mức đấy luôn,Youtube Short
8,@hunganhle926,2024-06-04T06:25:22Z,0,"Tại sao bắc 54 không ai gọi là bắc kỳ?mà bắc 75 mới gọi là bắc kỳ?đó có phải là do cách sống?còn Thanh hóa thì khỏi nói,bắc nam đều ghét.ăn rau má phá đường tàu😂😂😂",iMQ_lK_saqE,True,1.0,tại_sao bắc 54 không ai gọi là bắc kỳ mà bắc 75 mới gọi là bắc kỳ đó có phải là do cách sống còn thanh_hoá thì khỏi nói bắc_nam đều ghétăn rau mẹ phá đường tàu,Youtube Short
9,@thanhvule9237,2024-06-03T09:27:15Z,0,Việt Nam là 3 bắc kì nam kì trung kì,iMQ_lK_saqE,True,1.0,việt_nam là 3 bắc kì nam kì trung kì,Youtube Short
