,Text
0,may wá 3ck tui thích con gái 
1,mình thấy anh mc đó nói đúng
2,ê cái đoạn nói chuyện với mẹ y như mẹ tao nói với em gái tao vậy 
3,ê xinh zi
4,"cố lên anh nhé , anh tua khúc cuối có những câu động lực hay lắm"
5,y hệt mẹ của mình 梁
6,vote cho chị và người kia bỏ ổng
7,"tui cãi lộn mà phải lấy cái váy của mẹ ra mới cãi típ được á , ultr"
8,tuyến lệ có tồn tại tuyến lệ có tồn tại tuyến lệ có tồn tại
9,rang dưa bò 塞 à em trai mình hơn con trai mình có 5 tủi . 來
10,cứu tao bây ơi
11,đáng thương cho cô gái ấy梁
12,"anh quốc nhìn ảnh hiền hiền sao á , đúng người ta nói người chân thành sẽ gặp đúng người mà"
13,"cô giáo của em cũng zậy nèk , nhưng mà bạn bè xung quanh , đồng nghiệp , học sinh mến cô lắm 殺"
14,đọc bình luận thấy nhiều thầy bói vậy ta 
15,bạn có đang xem xét cái nữ quyền của bạn và nữ quyền của người trong clip chưa ? bạn phản biện phải có logic hơn thì mới thuyết phục . bạn đã chứng kiến nữ quyền thời hiện đại nó độc hại thế nào không ?
16,không dám comeout luôn á 
17,"hơi vô lý nha . hàng xóm với nhau chẳng lẽ không nhận ra con gái bả ? ' ,"
18,"em từng nói với mẹ bà ông bà em là nếu em là người đồng tính thì sao ? và bà em chỉ nói : "" không sao hết "" còn mẹ em thì : "" chẳng sao cả """
19,mấy đứa bê đê đi trái với mẹ tự nhiên nhưng lại cứ gào mồm là mình đúng
20,quá tuyệt vời em ơi chị xem nó nhoè chương trình rùi kìa
21,ủa rồi cưới chưa mà đẻ đang quen mà ?
22,tật nguyền vcl đéo hiểu tự hào chỗ nào= )
23,"ê mà sao wanbo tấm này nhìn như c mỹ tâm vậy tar ' ,"
24,lý do nhìu người ghét bise
25,"vì họ nặng chữ hiếu , mình cũng tôn trọng"
26,á có anh kia mặc váy xinh quáa
27,lgbt là làng gốm bát tràng
28,"tôi nói thật , may là tôi đẻ được thằng con trai nó đang học với ăn đồ tao nấu vui cửa vui nhà . con gái nó về nhà chồng rồi chắc vck tôi lủi thủi 1 mình"
29,tôi cũng mong ước có 1 tình iu như vây 
30,vậy còn cho nam thì sao ạ .
31,tôi thấy các bạn hiểu lầm giữa tôn trọng và tôn vinh thì phải
32,fact : khóc không khiến bạn nữ tính hơn
33,đặng thiện gay đòi quyền bình đẳng : )
34,2 năm rồi vẫn thế không ai biết
35,bạn thật đẹp
36,ủa là sao
37,đồng tính thì không nên làm việc trong bệnh viện
38,hủu trg báo luôn
39,các báo thủ
40,putin là nhất 
41,anh này nhìn hiền chân thật mà nhiều ngươi trêu anh chi để ông nản nưa hết dám ra clip luôn 
42,"sao cứ phải bắt ép người ta phải có đàn ông trong cs nhỉsau cuộc ly hôn các ce nữ quyền đó mới thấy đàn ông không dựa vào được , mới chọn tiền và độc thân"
43,đàn ông mà làm việc văn phòng thì không nam tính
44,sơ tán phụ nữ và trẻ nhỏ trước để đàn ông ở lại mới có không gian mà bình tĩnh suy nghĩ giải quyết vấn đề 
45,phụ nữ giờ mạnh mẽ và kiếm được tiền . nên họ cần người đàn ông yêu thương và biết tôn trọng vợ . chứ cứ gia trưởng nhưng các ông ngày xưa thì em cũng lạy
46,"phụ nữ được ưu tiên trong trường hợp khẩn cấp , cho hỏi bình thường có bao nhiêu cái khẩn cấp . tại sao lại đem vấn đề này ra so sánh như vậy "
47,sao lại kỳ thị lgbt ? 
48,ủa sao mình học thấy cũng bình thường
49,"mình nghĩ lúc lớn lên , có công việc ổn định có thu nhập nuôi được bame thì việc comeout rất dễ í 殺"
50,"gấu trúc ahihi đờn ông mặc váy ' ,"
51,vẽ chuyện quâ
52,em cũng từng làm đón bé và cũg gặp trường hợp vậy沈 lại còn mổ đẻ mà không ai đoái hoàn tới
53,họ thích thì họ kì thị thôi nào họ trong cảnh như những người chúng ta lúc đó mới hiểu được cái cảm giác kì thị là nó như thế nào 
54,trường em cũng có 1 thầy như vật mà thầy vui tính lắm
55,"sao mình được bình luận vẫn thấy một số người trẻ vẫn kì thị nhỉ đòi qua nga này nọ rồi nói nên y học nc nhà có vấn đề này nọ . có nên cho tụi nó tuyệt chủng không nhỉ hay tổ bd độ con của chúng nó cũng được cho tụi nó thử cảm giác của người khác khi bị kì thị như thế ' ,"
56,bởi thôi xin lạy mấy anh bi yêu gái thì yêu luôn đi khỏi mang tiếng quen trai rồi bỏ con người ta
57,"thất bại của tạo hoá nghĩ mình thượng đẳng , hài vcl bố mấy thằng nửa nạc nửa mỡ"
58,tư tưởng nữ quyền u nhọt xã hội à
59,dinh kien xa hoi chang ?
60,tự hào vì sản phẩm lỗi của tạo hoá ư ?
61,phim hay mà mong có phần sau
62,""" khóc là yếu đuối "" : ) từ khi nào tuyến lệ của con người lại quyết định bản chất con người nhỉ : ) rồi lại còn "" phụ nữ biết gì về đàn ông mà nói """
63,"- gia đình mình cũng phản đối kịch liệt cơ . mình biết được mình đồng tính từ lúc 10 tuổi . khi mà mình có cảm tình với các bạn nữ hơn nam . mình cũng khá giống con trai . mỗi lần nói về vấn đề đồng tính mình chỉ nghe được sự chỉ trích , khinh miệt của bố mày … xem thêm ' ,"
64,hát tới nổi bay cái ap luôn 
65,con mình thấy cái đó thì mê muốn xỉu hahaha 梁
66,cố gắng lên anh nhé
67,thương con 
68,chúc mừng hạnh phúc quá
69,đó mình xem còn xúc động . mà miền nam chửi tôi hay khóc . gặp tôi chắc khóc trôi khán giả 梁
70,không cần ptm cũng xinh quá luôn
71,tiên sư mấy thằng gay khuyết tật
72,"nguyễn bích tiên nữ giáng trần : ) ' ,"
73,sum vầy ? vui vẻ  mưa đến đâu mát mặt tới đó nhé .
74,"tui không tin ' ,"
75,nó đó chính nó lấy vấy mẹt zo mầy đẽ được khon 
76,bó tay luôn
77,"nguyễn tiến sống thật với bản thân đi em ' ,"
78,rồi làm vậy có sinh con được không
79,"trời ơi nghe mà sót quá . 梁em cũng là lgbt nhưng may mắn ở trường em được cô giáo chủ nhiệm ủng hộ và an ủi rất nhiều , bạn bè cũng rất vui vẻ với em"
80,"thực sự làm mẹ rồi mới hiểu con mình như vậy đau lắm , bất lực . nhưng chẳng biết làm thế nào cả , chấp nhận thui"
81,"p nữ chọn không đẻ con vì sợ mất đi sự nghiệp , nhan sắc , s khoẻ thậm chí tánh mạng là mấy anh dẫy liền . nhờ nữ quyền mà p nữ đã đỡ khổ hơn rất nhiều ."
82,"lúc nhỏ mình không thích lgbt nhưng cũng không ghét , chỉ là có khoảng cách với họ . nhưng bây giờ mình lại rất rất thích họ và thương họ . muốn bảo vệ họ"
83,ủa vậy bạn này là nưx hả … suất sắc vậy trời 
84,giống anh muốn nè
85,come out rồi mới thấy cái video này  xu !
86,đọc bình luận mà sốc梁
87,phụ nữ mà làm nghề kỹ sư thì không hợp
88,mèo méo meo mèo meo 
89,cái cổ 
90,con trai hay con gái là do đàng ông 
91,cặp đôi nhà múi xù
92,"ngt không ủng hộ mà một số ba má zô nói "" lạc hầu nữa "" con chịu mấy ba mấy má luôn ý"
93,lại làm trò để nổi đây mà 
94,đúng là 2 con về chung đội
95,sn tui ngày 20/10 ♥️
96,trường này đúng trường báo : )
97,"xin vía , mình cx là người trong cộng đồng lgbt❤️"
98,em đây hai
99,thầy cô như vậy rồi dạy ai 
100,thứ nhất nữ quyền là quyền bình đẳng trong công việc . bình đẳng trong tranh cử.vậy.vậy chứ kp là mày uống rượu được tôi cũng fai uống rượu . mày gái gú tôi cũng fai
101,muốn biết mẹ 2 đứa nhỏ
102,sem sớmày nek anh
103,tớ thương các cậu lgbt lắm . 
104,"cái việc cho phép lgbt tràn lan tuyên truyền ở Việt Nam và cả ở xã hội phương tây là một cách làm suy đồi , biến thái tâm lý xã hội"
105,bảo trọng nha người đẹp = )
106,"trc con bé hàng xóm sông chêt cãi bố mẹ yêu 1 bạn gái khác . bỏ cả nhà theo nhau , mấy năm sau lại lấy chồng và sinh 2 đứa con bình thường "
107,phép thuật winx enchanted
108,đáng yêu ghê殺
109,"cái giọng rất "" tấu hài "" "
110,bình dương cũng phải chào thua 
111,"để giả bộ shock cho tường zui ' ,"
112,"lão gia bạc tỉ , làng gốm bát tràng"
113,"mẹ tôi hay cho con em tôi xem cái mv "" sáng mắt chưa "" của trúc nhân"
114,kakakaka thấy bả kể cưng ghê 
115,lgbt là nhất
116,nhật đi chậm thời đại
117,ú là la tôi tên như và hoàn cảnh y chang nhưng tôi thì khác tôi nói lại luôn : )
118,bi đó eiu 
119,vì họ ship và làm em khó chịu
120,"tôi đồng ý , vì tôi cũng là lgbt"
121,xin vía được bame đồng ý ạ
122,tui có ny nữ đó … làm ơn đừng đối xử với họ như thế梁
123,tên nhạc là gì vậy ạ
124,đàng ông cũng đòi nam quyền cần có ngày quốc tế đàng ông đàng ông không cần lâu nhà quét nhà rửa chén nữa
125,thì gen của con trai nó khoẻ hơn thì đúng chứ còn gì nữa chẳng phải tự nhiên gọi là phái yếu nếu chứng minh là nữ mạnh ngang nhau thì ra 1-1 đi bạn
126,đến nỗi mẹ em còn xem đó là bệnh và còn muốn chữa bệnh cho em
127,gia đình em chấp nhận vì thw em và không nói gì cả殺
128,he tim thứ 3
129,sếp cùng đồng ý nên không lý nào tui không đồng ý cả
130,"mới nghe hết hồn , tưởng hai anh em . vậy là tốt rồi ."
131,cô hai báo với vinh gấu ra trang hí
132,nice < 3
133,"rồi mấy công việc như tiếp viên , lễ tân , . mình thấy cũng toàn nữ không mà . phần vì họ giỏi trong giao tiếp , xử lý tình huống linh hoạt , trí nhớ tốt , dễ có thi … xem thêm ' ,"
134,thầy cj giống không khác thầy em 
135,hợp lý vc cơ : )
136,có không có cảm giác khi chơi với nam em côi như bạn còn nữ thì em lại có bảm giác ah ơi
137,không cnd
138,"làm gì có ai sinh ra đã là gay , toàn học đòi mà thôi"
139,殺mối qh dễ thương luôn á
140,"tại vì họ chưa đặt bản thân vào vị trí của ngkhac , ai cx cần được tôn trọng cả mà"
141,"bản thân mình là con gái và bé bị bố và nhà nội đối xử không tốt , đến lúc có con phát hiện là con gái vừa sợ vừa thương , từng có ý định bỏ vì không"
142,"mặt có nét phu thê quá ' ,"
143,anh cũng có bín tới đâu
144,"hồi làm trợ giảng ( ? ) thanh nhạc cho the voice kids xem phải bể bóng vì bả luôn . người gì đẹp quá đẹp ' ,"
145,đó có còn là nhà nữa đâu.có thể đó là nơi nuôi lớn nhưng là nhà thì hông chắc.nó không ấm áp và yên lòng
146,"nói ra thì trung quốc cũng chưa cởi mở bằng việt nam.đồng tính ở Việt Nam cũng đã được lấy nhau và cũng có số đông người chấp nhận rồi , buồn cho cộng đồng lgbt trung quốc ' ,"
147,không cho đi chơi nói này kia đi chơi rồi thấy hậu quả chưa mấy đứa
148,“ ê đừng có thích tao nhe ” ụa nhưng mà mày có chỗ nào cho tôi thích  ?
149,"còn chuyện đẻ nữa lên mạng mồm cứ khăng khăng chúng tôi sinh ra không phải để đẻ con , tại sao phải đẻ … . đến lúc bị chửi thì : chúng mày có đẻ được không ?"
150,殺còn mẹ là hạnh phúc nhất trên đời
151,tôn trọng không tôn sùng nhé !
152,cái độc hại ở đây là cái video này đó
153,"han ho winx của mày mè ' ,"
154,bữa mới thấy ở hội an xong
155,ủa người ta livestream quảng bá sản phẩm mới cái bị nói hết tiền phải kiếm tiền donut . hề
156,đọc bình luận tưởng thời pk
157,chị phía sau đẹp quá
158,"đây là lí do con gái thường không thích yêu trai cùng tuổi . hay so đo lắm , đa số là vậy . người đủ trưởng thành chã ai thắc mắc vde đó cả . ☺️"
159,nữ quyền không sai người lợi dụng nữ quyền để đòi hỏi quá đáng là sai em nghĩ thế xin đừng ném đá ạ
160,cứ tưởng phạm thoại bị ấy cơ 
161,em cx giống vậy
162,bình dương chứ đâu nữa
163,"ba mẹ Việt Nam : như video . ba mẹ nước khác ( phương tây ) : don ' tôi apologize , don ' tôi cry . you can only cry when you ' re hapy ❤️"
164,cha mẹ phải như thế mới được.đừng dồn con vào đường cùng chả đem lại điều gi tốt đẹp cả
165,chắc tiền kiếp là chị em
166,"xem em rất chữa lành , cảm ơn em và cố gắng nhé"
167,rồi con ngoại với con mẹ là thể loại nào ?
168,✨ dễ thương殺
169,ủanh rótôi cuộc htl giới tính gì
170,2 cái điều đó nó đều / s / ngoài : )
171,ai sinh con vậy 殺
172,ấm áp quá bạn . cám ơn video của bạn
173,một phần lí do nghỉ học nè mày
174,thuý không hiểu í anh không
175,quan trọng là cảm xúc khi ở bên nhau .
176,20/10 quốc tế phụ nữ 19/1 quốc tế nam giới chúc mừng ngày quốc tế nam giới 19/1 vậy 拾
